State,City,Locations,Courts
CA,West Hollywood,2,7
CA,Westlake Village,2,12
CA,Westminster,2,5
CA,Westwood,2,4
CA,Woodland,2,10
CA,Yountville,2,10
CA,Yuba City,2,7
CA,Yucca Valley,2,5
CA,Acton,1,2
CA,Alamo,1,3
CA,Albany,1,6
CA,Alhambra,1,3
CA,Aliso Viejo,1,8
CA,Antelope,1,2
CA,Arnold,1,1
CA,Atlanta,1,2
CA,Auburn Lake Trails,1,12
CA,Avalon,1,4
CA,Azusa,1,4
CA,Baldwin Park,1,2
CA,Baywood-Los Osos,1,4
CA,Bellflower,1,2
CA,Belvedere Gardens,1,1
CA,Beverly Hills,1,4
CA,Big Bear City,1,8
CA,Big Bear Lake,1,4
CA,Bishop,1,4
CA,Bolinas,1,1
CA,Bonita,1,1
CA,Bonsall,1,2
CA,Boulder Creek,1,4
CA,Brea,1,2
CA,Brisbane,1,2
CA,Buellton,1,3
CA,Burnt Ranch,1,2
CA,Calabasas,1,16
CA,Calimesa,1,2
CA,Calistoga,1,4
CA,Cambria,1,6
CA,Cameron Park,1,3
CA,Campbell,1,20
CA,Carmel-by-the-Sea,1,4
CA,Carpinteria,1,2
CA,Ceres,1,2
CA,Cherry Valley,1,2
CA,Cienega,1,4
CA,City of Industry,1,4
CA,Coachella,1,4
CA,Compton,1,2
CA,Corcoran,1,4
CA,Corte Madera,1,2
CA,Dinuba,1,2
CA,Downey,1,4
CA,Duarte,1,2
CA,Dublin,1,2
CA,Durham,1,3
CA,El Cerrito,1,6
CA,El Paso de Robles,1,3
CA,El Sobrante,1,4
CA,Etna,1,2
CA,Fairfax,1,5
CA,Fawnskin,1,2
CA,Fillmore,1,2
CA,Foster City,1,6
CA,Fowler,1,2
CA,Frazier Park,1,4
CA,Galt,1,7
CA,Garden Valley,1,2
CA,Gold River,1,25
CA,Graeagle,1,4
CA,Grand Terrace,1,6
CA,Groveland,1,6
CA,Grover Beach,1,4
CA,Guerneville,1,2
CA,Half Moon Bay,1,2
CA,Hawthorne,1,4
CA,Helendale,1,3
CA,Hidden Valley Lake,1,2
CA,Highland,1,2
CA,Holtville,1,2
CA,Homeland,1,2
CA,Huntington Park,1,2
CA,Idyllwild-Pine Cove,1,2
CA,Imperial Beach,1,2
CA,Indian Wells,1,4
CA,Inglewood,1,8
CA,Jackson,1,4
CA,Jamul,1,2
CA,Kelsey,1,3
CA,Kelseyville,1,6
CA,Kentfield,1,6
CA,Kernville,1,2
CA,Lafayette,1,6
CA,Laguna Woods,1,10
CA,La Habra,1,20
CA,Lakeside Park,1,7
CA,Lakewood,1,8
CA,La Palma,1,4
CA,Larkspur,1,4
CA,Lathrop,1,2
CA,La Verne,1,4
CA,Lemon Grove,1,4
CA,Lewiston,1,2
CA,Loleta,1,4
CA,Marina,1,2
CA,Mariposa,1,4
CA,Mather,1,1
CA,McKinleyville,1,3
CA,Meadow Vista,1,4
CA,Millbrae,1,4
CA,Monrovia,1,4
CA,Montague,1,3
CA,Montebello,1,4
CA,Monte Rio,1,2
CA,Moreno Valley,1,12
CA,Morro Bay,1,4
CA,Moss Beach,1,1
CA,Mount Shasta,1,8
CA,Nevada City,1,2
CA,Nevin,1,3
CA,Niland,1,8
CA,Nipomo,1,6
CA,Norco,1,4
CA,Norwalk,1,3
CA,Noyo,1,1
CA,Nuevo,1,14
CA,Oakley,1,5
CA,Oak Park,1,4
CA,Pacific Grove,1,4
CA,Palmdale,1,8
CA,Palo Alto,1,15
CA,Parker Dam,1,2
CA,Parklabrea,1,3
CA,Pittsburg,1,3
CA,Placentia,1,4
CA,Placerville,1,4
CA,Pleasant Hill,1,4
CA,Pollock Pines,1,1
CA,Pomona,1,16
CA,Porterville,1,4
CA,Port Hueneme,1,10
CA,Rampart,1,3
CA,Rancho Murieta,1,2
CA,Reedley,1,8
CA,Rio Linda,1,4
CA,Rio Vista,1,4
CA,Ripon,1,4
CA,Rolling Hills,1,1
CA,Ross,1,4
CA,San Andreas,1,1
CA,San Bernardino,1,8
CA,San Bruno,1,4
CA,San Dimas,1,6
CA,San Gabriel,1,8
CA,San Juan Bautista,1,6
CA,San Martin,1,2
CA,Santee,1,8
CA,Scotts Valley,1,8
CA,Selma,1,6
CA,Shasta Lake,1,4
CA,Shingle Springs,1,6
CA,Sierra Madre,1,2
CA,Signal Hill,1,1
CA,Soda Springs,1,2
CA,Solana Beach,1,3
CA,Solvang,1,4
CA,Somerset,1,2
CA,Sonoma,1,1
CA,South El Monte,1,16
CA,St. Helena,1,4
CA,Sylvia Park,1,3
CA,Tahoe Vista,1,6
CA,Tecate,1,3
CA,Temple City,1,4
CA,Thousand Palms,1,8
CA,Topanga,1,2
CA,Topanga Beach,1,6
CA,Tulare,1,2
CA,Twain Harte,1,2
CA,Twentynine Palms,1,2
CA,Upland,1,4
CA,Watsonville,1,4
CA,Weaverville,1,6
CA,West Covina,1,3
CA,West Sacramento,1,4
CA,Whitethorn,1,2
CA,Whittier,1,4
CA,Wilton,1,6
CA,Winchester,1,2
CA,Windsor,1,5
CA,Woodside,1,3
CA,Yreka,1,3
CO,Denver,48,164
CO,Colorado Springs,28,143
CO,Aurora,17,56
CO,Littleton,13,60
CO,Fort Collins,12,51
CO,Boulder,10,37
CO,Lakewood,10,44
CO,Longmont,10,53
CO,Pueblo,8,36
CO,Loveland,7,39
CO,Parker,7,43
CO,Westminster,7,31
CO,Arvada,6,45
CO,Durango,6,21
CO,Thornton,6,31
CO,Evergreen,6,22
CO,Centennial,5,28
CO,Aspen,5,45
CO,Crested Butte,5,15
CO,Castle Rock,4,25
CO,Broomfield,4,23
CO,Englewood,4,11
CO,Windsor,4,32
CO,Greeley,4,19
CO,Wheat Ridge,4,27
CO,Lafayette,4,18
CO,Vail,4,21
CO,United States,4,29
CO,Grand Junction,4,38
CO,Gunnison,3,14
CO,Golden,3,13
CO,Silverthorne,3,18
CO,Highlands Ranch,3,17
CO,Carbondale,3,12
CO,Grand Lake,3,8
CO,New Castle,3,6
CO,Palmer Lake,2,10
CO,Avon,2,10
CO,Breckenridge,2,15
CO,Gleneagle,2,16
CO,Firestone,2,5
CO,Air Force Academy,2,16
CO,Northglenn,2,11
CO,Trinidad,2,4
CO,Salida,2,9
CO,Gypsum,2,11
CO,Monument,2,5
CO,Superior,2,9
CO,Frederick,2,4
CO,Montrose,2,17
CO,Steamboat Springs,2,24
CO,Ordway,2,5
CO,Crawford,2,2
CO,Craig,2,7
CO,Brighton,2,5
CO,Erie,2,7
CO,Alamosa,2,6
CO,Fort Morgan,2,4
CO,Buena Vista,2,9
CO,Pagosa Springs,2,11
CO,Sable,2,6
CO,Poncha Springs,2,3
CO,Cortez,2,8
CO,Berthoud,2,8
CO,Lone Tree,1,6
CO,Federal Heights,1,2
CO,Manassa,1,2
CO,Monte Vista,1,2
CO,Pine Valley,1,5
CO,La Veta,1,2
CO,Louisville,1,3
CO,Commerce City,1,3
CO,Johnstown,1,4
CO,Creede,1,2
CO,Norwood,1,4
CO,Milliken,1,4
CO,Beaver Creek,1,6
CO,Dillon,1,8
CO,Eagle,1,2
CO,Cedaredge,1,4
CO,Ca̱on City,1,6
CO,Basalt,1,4
CO,Frisco,1,4
CO,Palisade,1,6
CO,Eaton,1,3
CO,Shirley,1,6
CO,Ridgway,1,7
CO,South Fork,1,3
CO,Holly,1,3
CO,Estes Park,1,4
CO,Fort Lupton,1,2
CO,Granby,1,2
CO,Crestone,1,4
CO,Fruita,1,3
CO,Snowmass Village,1,10
CO,Woodland Park,1,2
CO,Paonia,1,8
CO,Fraser,1,6
CO,Castle Pines,1,5
CO,Glenwood Springs,1,7
CO,Pitkin,1,1
CO,Lake George,1,2
CO,Lake City,1,3
CO,Nederland,1,2
CO,Meeker,1,1
CO,Nathrop,1,4
CO,Burlington,1,4
CO,Manitou Springs,1,2
CO,Del Norte,1,4
CO,Idaho Springs,1,1
CO,Appleton,1,2
CO,Evans,1,1
CO,El Jebel,1,4
CO,Greenwood Village,1,2
CO,Parachute,1,6
CO,Wellington,1,5
CO,Peyton,1,4
CO,Delta,1,3
CT,Stamford,9,42
CT,Milford,8,30
CT,Greenwich,7,28
CT,Danbury,6,19
CT,Fairfield,5,32
CT,Westport,5,18
CT,Ridgefield,5,15
CT,Newtown,4,18
CT,Groton,4,14
CT,Stonington,4,14
CT,Simsbury,4,20
CT,New Canaan,4,18
CT,West Hartford,4,16
CT,Bloomfield,4,25
CT,Stratford,3,13
CT,South Windsor,3,14
CT,Norwalk,3,20
CT,New Haven,3,12
CT,Ellington,3,9
CT,Bristol,3,13
CT,Meriden,3,12
CT,Shelton,3,8
CT,Trumbull,3,9
CT,East Lyme,3,12
CT,Darien,2,9
CT,Bridgeport,2,3
CT,Cheshire,2,10
CT,New Milford,2,8
CT,Glastonbury,2,10
CT,Suffield,2,9
CT,East Hartford,2,10
CT,Guilford,2,19
CT,Harwinton,2,7
CT,Plainville,2,12
CT,Waterford,2,7
CT,Tolland,2,4
CT,Newington,2,4
CT,Preston,2,6
CT,Berlin,2,10
CT,Monroe,2,8
CT,Enfield,2,9
CT,Wilton,1,3
CT,Old Saybrook,1,3
CT,North Stonington,1,2
CT,New London,1,2
CT,Cos Cob,1,4
CT,Orange,1,5
CT,Southbury,1,4
CT,Thompson,1,3
CT,Killingworth,1,4
CT,Bolton,1,1
CT,Southington,1,3
CT,West Haven,1,3
CT,Niantic,1,2
CT,Mansfield,1,6
CT,Tariffville,1,2
CT,Torrington,1,2
CT,Oxford,1,4
CT,Winsted,1,2
CT,Sandy Hook,1,3
CT,Wallingford,1,8
CT,Somers,1,4
CT,Rocky Hill,1,12
CT,North Branford,1,10
CT,North Haven,1,14
CT,Windsor,1,13
CT,Westbrook,1,3
CT,Moodus,1,2
CT,Madison,1,3
CT,Plantsville,1,6
CT,Middlebury,1,4
CT,Sherman,1,2
CT,Collinsville,1,4
CT,Coventry,1,2
CT,Manchester,1,4
CT,Ansonia,1,2
CT,Redding,1,13
CT,Montville,1,6
CT,Woodstock,1,4
CT,Plymouth,1,4
CT,Bethel,1,3
CT,Dayville,1,2
CT,Vernon,1,8
CT,Brookfield,1,2
CT,Windham,1,6
CT,Weston,1,4
CT,Farmington,1,4
CT,Granby,1,4
CT,North Canaan,1,2
CT,Mashantucket,1,2
CT,Lisbon,1,2
DE,Wilmington,16,68
DE,Lewes,10,25
DE,Newark,8,46
DE,Rehoboth Beach,7,20
DE,Middletown,4,18
DE,Millsboro,4,12
DE,Dover,3,25
DE,Bethany Beach,2,26
DE,Frankford,2,16
DE,Georgetown,2,10
DE,Milford,2,5
DE,Millville,2,7
DE,Ocean View,2,4
DE,Selbyville,2,8
DE,Camden,1,1
DE,Fieldsboro,1,2
DE,Hockessin,1,9
DE,Long Neck,1,2
DE,Newport,1,10
DE,Seaford,1,6
DE,Wyoming,1,1
DC,Washington,32,123
FL,Jacksonville,33,145
FL,Tampa,31,156
FL,Orlando,28,112
FL,Sarasota,27,146
FL,Miami,27,148
FL,Fort Myers,26,149
FL,The Villages,26,158
FL,Boca Raton,26,119
FL,Naples,23,178
FL,Bradenton,21,104
FL,Boynton Beach,21,92
FL,Melbourne,18,74
FL,Delray Beach,17,70
FL,Gainesville,17,67
FL,Ocala,16,94
FL,Tallahassee,15,64
FL,Lady Lake,14,82
FL,Clearwater,13,43
FL,West Palm Beach,13,65
FL,Jupiter,13,52
FL,Fort Lauderdale,12,90
FL,Daytona Beach,11,53
FL,Cape Coral,11,93
FL,Kissimmee,10,70
FL,Punta Gorda,10,75
FL,Venice,10,51
FL,St. Petersburg,9,51
FL,Wildwood,9,69
FL,Estero,9,57
FL,St. Petersburg,9,31
FL,United States,9,49
FL,Palm Coast,8,46
FL,Ponte Vedra Beach,8,70
FL,Port Charlotte,8,43
FL,St. Augustine,8,23
FL,Picolata,8,27
FL,Bonita Springs,8,46
FL,Sebring,7,50
FL,Englewood,7,51
FL,Stuart,7,33
FL,Vero Beach,7,45
FL,Pensacola,7,20
FL,Miami Beach,7,25
FL,Fort Pierce,7,32
FL,Leesburg,7,46
FL,New Smyrna Beach,6,24
FL,Pembroke Pines,6,32
FL,Zephyrhills,6,27
FL,Palm Beach Gardens,6,44
FL,Summerfield,6,42
FL,Largo,6,20
FL,Fort Walton Beach,6,22
FL,Wesley Chapel,6,19
FL,Fernandina Beach,6,25
FL,Panama City Beach,6,27
FL,Port St. Lucie,6,71
FL,Santa Rosa Beach,5,22
FL,Oviedo,5,20
FL,Lakeland,5,33
FL,North Fort Myers,5,18
FL,Deerfield Beach,5,31
FL,St. Augustine,5,18
FL,Palm Bay,5,16
FL,Dade City,5,15
FL,Clermont,5,29
FL,Brooksville,5,26
FL,Cocoa Beach,5,8
FL,Weston,5,22
FL,Port St. Lucie,5,81
FL,Palmetto,5,22
FL,Lake Worth,5,19
FL,Palm Harbor,5,24
FL,Orange Park,5,19
FL,Miramar Beach,5,24
FL,Sanibel,5,21
FL,Gulfport,5,9
FL,Coral Gables,4,9
FL,Coconut Creek,4,24
FL,Nokomis,4,30
FL,Cocoa,4,18
FL,Dunedin,4,19
FL,Key Largo,4,35
FL,Titusville,4,19
FL,Winter Park,4,18
FL,Hollywood,4,22
FL,Tarpon Springs,4,18
FL,North Port,4,12
FL,Crystal River,4,14
FL,Lake Wales,4,16
FL,Destin,4,14
FL,Sebastian,4,20
FL,Pompano Beach,4,32
FL,Wellington,4,18
FL,Merritt Island,4,13
FL,Ormond Beach,4,15
FL,Ruskin,4,12
FL,Winter Haven,4,13
FL,Hialeah,4,20
FL,Oxford,4,12
FL,Lutz,4,8
FL,Oldsmar,4,23
FL,Lake Placid,4,9
FL,Fort Myers Beach,4,24
FL,Seminole,4,25
FL,Panama City,4,12
FL,Okeechobee,3,18
FL,Coral Springs,3,26
FL,Pinellas Park,3,4
FL,Tavares,3,10
FL,Palatka,3,25
FL,Madison,3,9
FL,Port Orange,3,19
FL,Land O' Lakes,3,26
FL,Sun City Center,3,20
FL,Spring Hill,3,12
FL,Oakland Park,3,9
FL,St. Cloud,3,17
FL,Davenport,3,13
FL,Green Cove Springs,3,15
FL,Mount Dora,3,15
FL,Plant City,3,9
FL,Parkland,3,13
FL,Mims,3,13
FL,Maitland,3,8
FL,Atlantic Beach,3,11
FL,Port Richey,3,11
FL,Royal Palm Beach,3,10
FL,Keystone Heights,3,9
FL,Satellite Beach,3,2
FL,Altamonte Springs,3,15
FL,Lithia,3,9
FL,Niceville,3,17
FL,Winter Springs,3,26
FL,Sanford,3,15
FL,Big Pine Key,3,7
FL,Beverly Hills,2,10
FL,Homestead,2,4
FL,Palm Beach,2,14
FL,Hallandale Beach,2,5
FL,Marianna,2,9
FL,Doral,2,10
FL,Hudson,2,11
