Tournament Name,Status,Players,City,State,Raw Start Date,Start Date,is_large_tournament,is_major_tournament
Toys for Tots @ Lucky Shots,Completed,114,Minneapolis,MN,"Dec 14, 2024",2024-12-14,False,False
Port City Pickleball Winter Slam,Completed,50,Daphne,AL,"Dec 14, 2024",2024-12-14,False,False
Winter Blaze Pickleball Tournament,Completed,29,Newington,CT,"Dec 14, 2024",2024-12-14,False,False
The Reindeer Ruckus of Tysons,Completed,145,Vienna,VA,"Dec 14, 2024",2024-12-14,False,False
1st Annual Pickleball Paddock Christmas Tournament,Completed,144,Lexington,KY,"Dec 14, 2024",2024-12-14,False,False
Jingle Bell Classic,Completed,57,Westminster,CO,"Dec 14, 2024",2024-12-14,False,False
Blaze Pickleball Holiday Classic,Completed,125,Cape Coral,FL,"Dec 14, 2024",2024-12-14,False,False
Zonta's Volley Against Violence,Completed,47,Sanibel,FL,"Dec 14, 2024",2024-12-14,False,False
3rd Annual Jensen Beach High School Pickleball Tournament,Completed,91,Stuart,FL,"Dec 14, 2024",2024-12-14,False,False
Addict Bangerball,Completed,32,Oldsmar,FL,"Dec 14, 2024",2024-12-14,False,False
SoCal Battle Royal-Championship Festival-The Ultimate Amateur MLP Team Experience,Completed,25,Palm Desert,CA,"Dec 14, 2024",2024-12-14,False,False
Life Time Westwood Fall Classic,Completed,115,Westwood,MA,"Dec 13, 2024",2024-12-13,False,False
2024 Year-End Winter Fest Tournament,Completed,12,Sayville,NY,"Dec 13, 2024",2024-12-13,False,False
2024 WPA National Championships Long Beach CA,Completed,47,Long Beach,CA,"Dec 13, 2024",2024-12-13,False,False
2024 Northeast Winter Open by Montclair Pickleball,Completed,250,Randolph,NJ,"Dec 13, 2024",2024-12-13,False,False
2024 PD New England Regional Championship,Completed,234,Sturbridge,MA,"Dec 13, 2024",2024-12-13,False,False
Georgia Candy Cane Classic 2024,Completed,827,Macon,GA,"Dec 13, 2024",2024-12-13,True,False
Side Out Slam Hosted By Devin Schmidt $$$,Completed,268,Everett,WA,"Dec 13, 2024",2024-12-13,True,False
"""CAPA California Championship 2024 $12,000 Presented By CRBN Pickleball & CSKJI""",Completed,25,Newport Beach,CA,"Dec 13, 2024",2024-12-13,False,False
Epic PBC Tournament - Deck the Halls,Completed,339,Littleton,CO,"Dec 13, 2024",2024-12-13,True,False
Santa's Showdown At PACE,Completed,352,Katy,TX,"Dec 13, 2024",2024-12-13,True,False
Colorado Showdown,Completed,221,Colorado Springs,CO,"Dec 13, 2024",2024-12-13,False,False
Holiday Classic 2024,Completed,145,Newport News,VA,"Dec 13, 2024",2024-12-13,False,False
"""The Pickleball DRS Christmas Classic. All ages, 10-110 included!""",Completed,160,Springdale,AR,"Dec 13, 2024",2024-12-13,False,False
Holiday Showdown at The PutAway,Completed,173,Millersville,MD,"Dec 13, 2024",2024-12-13,False,False
Pickle in the Land,Completed,682,Cleveland,OH,"Dec 13, 2024",2024-12-13,True,False
World Pickleball Tour Bradenton Challenger Presented by AIM7,Completed,322,Bradenton,FL,"Dec 13, 2024",2024-12-13,True,False
The Momentous Wealth Open,Completed,215,Oakdale,MN,"Dec 12, 2024",2024-12-12,False,False
The Dirty Dinkers Dink-Off,Completed,16,Farmers Branch,TX,"Dec 8, 2024",2024-12-08,False,False
Compete: Dink. Drop. Drive. Repeat.,Completed,76,Springfield,IL,"Dec 8, 2024",2024-12-08,False,False
"""Pickling for Wishes Tallahassee, benefiting Make-A-Wish Central and Northern Florida""",Completed,89,Tallahassee,FL,"Dec 8, 2024",2024-12-08,False,False
GL Pickleball Tournament 24,Completed,2,Kenosha,WI,"Dec 7, 2024",2024-12-07,False,False
PKLBALL TOURNAMENTS (Multi-Event),Completed,48,St. George,UT,"Dec 7, 2024",2024-12-07,False,False
Ferryway School Pickleball Tournament,Completed,36,Malden,MA,"Dec 7, 2024",2024-12-07,False,False
Charity Pickleball Tournament Benefiting SNAP Sports,Completed,139,Valencia,CA,"Dec 7, 2024",2024-12-07,False,False
In-Shape's Tournament Of Champions (INVITATIONAL),Completed,69,Stockton,CA,"Dec 7, 2024",2024-12-07,False,False
King & Queen of the Court,Completed,68,NY,NY,"Dec 7, 2024",2024-12-07,False,False
Paul Bunyan Pickleball Classic,Completed,97,Bemidji,MN,"Dec 7, 2024",2024-12-07,False,False
FBCMI Holiday Classic,Completed,35,Mount Ida,AR,"Dec 7, 2024",2024-12-07,False,False
2nd Annual Dink the Halls MLP Tournament,Completed,47,Gainesville,VA,"Dec 7, 2024",2024-12-07,False,False
Pickle Point - Winter Ca$h Royale,Completed,207,Katy,TX,"Dec 7, 2024",2024-12-07,False,False
3rd Annual Shadow Valley Winter Indoor Pickleball Championship,Completed,71,Rogers,AR,"Dec 7, 2024",2024-12-07,False,False
Life Time Fall Classic Tournament,Completed,184,Vernon Hills,IL,"Dec 7, 2024",2024-12-07,False,False
Life Time Galleria Winter Tournament,Completed,35,Houston,TX,"Dec 7, 2024",2024-12-07,False,False
Ohio Social Sports Holiday Tournament,Completed,44,Lexington,OH,"Dec 7, 2024",2024-12-07,False,False
The Atlanta Amateur Open @ Atlanta Pickleball Center,Completed,133,Atlanta,GA,"Dec 7, 2024",2024-12-07,False,False
The Florida Gold Cup @ Orlando Racket Sports,Completed,91,Orlando,FL,"Dec 7, 2024",2024-12-07,False,False
Reindeer Games Holiday Pickleball Tournament,Completed,88,Augusta,GA,"Dec 7, 2024",2024-12-07,False,False
INDOOR SMASH & DASH,Completed,47,Irving,TX,"Dec 7, 2024",2024-12-07,False,False
Winter Jam Doubles Tournament,Completed,124,Plano,TX,"Dec 7, 2024",2024-12-07,False,False
Dink the Halls,Completed,151,Lansdale,PA,"Dec 7, 2024",2024-12-07,False,False
Life Time Team Tournament at the Peach,Completed,14,Peachtree Corners,GA,"Dec 7, 2024",2024-12-07,False,False
Smash Point Open,Completed,25,Mechanicsburg,PA,"Dec 7, 2024",2024-12-07,False,False
Santa Slam,Completed,65,Warren,MI,"Dec 7, 2024",2024-12-07,False,False
The Capital Cup @ Boston Pickle Club,Completed,191,Hyde Park,MA,"Dec 7, 2024",2024-12-07,False,False
Salty Elf (We are Full - No waiting list),Completed,443,Grand Rapids,MI,"Dec 7, 2024",2024-12-07,True,False
Life Time City Centre Fall Brawl,Completed,10,Houston,TX,"Dec 7, 2024",2024-12-07,False,False
Gorges Winter Open at Pickleball Mania,Completed,81,Ithaca,NY,"Dec 7, 2024",2024-12-07,False,False
6th Annual Winchester Country Club Pickelball Tournament,Completed,25,Winchester,VA,"Dec 7, 2024",2024-12-07,False,False
Riverland Pickleball Invitational,Completed,286,Port St. Lucie,FL,"Dec 7, 2024",2024-12-07,True,False
Americana YMCA Reindeer Games,Completed,99,Zachary,LA,"Dec 7, 2024",2024-12-07,False,False
