state,interest
UT,100
HI,74
AZ,73
MN,72
FL,65
CO,62
ID,59
SC,55
OR,51
CT,50
VT,50
DE,50
NH,49
CA,49
MO,49
MA,48
NJ,48
NC,48
KS,47
WA,46
NV,45
GA,44
WI,44
MI,43
ME,43
TX,42
IN,42
TN,42
NE,42
IL,42
RI,41
VA,41
IA,41
MD,39
OH,39
DC,39
AR,38
PA,38
KY,38
AL,36
SD,36
OK,36
NY,35
MT,34
WY,33
NM,31
LA,30
AK,29
ND,28
WV,26
MS,25
