state,interest
UT,100
AZ,48
ID,45
MN,39
HI,35
WA,35
FL,34
CO,31
MT,30
OR,29
CA,29
KS,28
NH,28
TX,28
NE,28
SD,27
IA,27
NC,27
NJ,27
GA,26
MI,26
MA,26
WY,25
NV,25
MO,25
WI,25
IN,25
CT,25
VT,25
ME,24
TN,24
AR,24
SC,24
ND,24
OH,23
DE,23
OK,23
VA,23
IL,22
KY,21
RI,21
PA,21
NY,21
MD,20
DC,20
AL,19
NM,18
LA,18
AK,17
WV,17
MS,16
