state,interest
HI,100
UT,86
ID,62
AZ,62
FL,53
SC,48
DE,44
MN,43
OR,41
WA,39
AL,39
NH,37
CO,37
NV,36
AR,36
MO,36
SD,36
ME,34
KS,34
CA,32
TN,32
MT,32
NC,32
WY,31
NM,31
IN,31
MI,31
MD,29
WI,29
VT,29
GA,29
IA,27
OK,27
LA,25
AK,25
NJ,25
VA,25
OH,25
PA,25
KY,24
WV,24
MA,24
CT,24
TX,22
IL,22
NE,22
DC,22
RI,22
ND,18
MS,17
NY,13
