state,interest
UT,100.0
HI,64.0
ID,57.0
AZ,50.0
KS,42.0
NV,35.0
FL,28.0
NC,28.0
WA,28.0
CO,21.0
SC,21.0
DC,21.0
MN,21.0
CA,21.0
TX,21.0
MT,21.0
GA,21.0
SD,21.0
NH,21.0
MO,21.0
TN,21.0
OK,14.0
VA,14.0
MD,14.0
AL,14.0
AR,14.0
KY,14.0
WI,14.0
IN,14.0
OR,14.0
IA,14.0
PA,14.0
IL,14.0
WV,14.0
OH,14.0
NJ,14.0
NE,14.0
ME,14.0
MI,14.0
MA,14.0
CT,7.0
NM,7.0
NY,7.0
LA,7.0
MS,7.0
AK,0.0
VT,0.0
RI,0.0
ND,0.0
DE,0.0
WY,0.0
