state,interest
HI,100.0
AZ,93.0
MA,81.0
MN,75.0
RI,75.0
CO,75.0
CT,75.0
UT,75.0
FL,75.0
DE,68.0
NJ,68.0
DC,62.0
NH,62.0
CA,56.0
IL,56.0
NC,56.0
ID,56.0
ME,56.0
NV,56.0
WA,56.0
MO,50.0
SC,50.0
OR,50.0
MD,50.0
VA,43.0
NE,43.0
PA,43.0
WI,43.0
GA,43.0
MI,43.0
NY,43.0
WY,37.0
KY,37.0
OH,37.0
VT,37.0
KS,37.0
IN,37.0
NM,31.0
AK,31.0
TN,31.0
MT,31.0
TX,31.0
OK,25.0
AR,25.0
IA,25.0
AL,25.0
LA,18.0
ND,12.0
WV,12.0
MS,12.0
SD,0.0
